"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 20:33:37 GMT 2024","Thu Oct 10 20:33:38 GMT 2024","972","Tests","Features","Login","","","Login com e-mail inválido",""
"passed","Thu Oct 10 20:33:43 GMT 2024","Thu Oct 10 20:33:44 GMT 2024","949","Tests","Features","Login","","","Login com e-mail e senha vazios",""
"passed","Thu Oct 10 20:33:28 GMT 2024","Thu Oct 10 20:33:35 GMT 2024","6932","Tests","Features","Conta.Cadastro Conta","","","Cadastro de conta com sucesso",""
"passed","Thu Oct 10 20:33:41 GMT 2024","Thu Oct 10 20:33:42 GMT 2024","940","Tests","Features","Login","","","Login com e-mail vazio",""
"passed","Thu Oct 10 20:33:45 GMT 2024","Thu Oct 10 20:33:46 GMT 2024","1404","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com sucesso",""
"passed","Thu Oct 10 20:33:44 GMT 2024","Thu Oct 10 20:33:45 GMT 2024","1219","Tests","Features","Login","","","Login com sucesso",""
"passed","Thu Oct 10 20:33:42 GMT 2024","Thu Oct 10 20:33:43 GMT 2024","984","Tests","Features","Login","","","Login com senha vazia",""
"passed","Thu Oct 10 20:33:38 GMT 2024","Thu Oct 10 20:33:40 GMT 2024","1189","Tests","Features","Login","","","Login com senha inválida",""
"passed","Thu Oct 10 20:33:40 GMT 2024","Thu Oct 10 20:33:41 GMT 2024","979","Tests","Features","Login","","","Login com e-mail e senha inválidos",""
"passed","Thu Oct 10 20:33:35 GMT 2024","Thu Oct 10 20:33:37 GMT 2024","2513","Tests","Features","Conta.Cadastro Conta","","","Adicionar uma conta de mesmo nome",""
"passed","Thu Oct 10 20:33:46 GMT 2024","Thu Oct 10 20:33:48 GMT 2024","2137","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com e-mail já utilizado",""
