"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 20:10:21 GMT 2024","Thu Oct 10 20:10:21 GMT 2024","860","Tests","Features","Login","","","Login com e-mail inválido",""
"passed","Thu Oct 10 20:10:27 GMT 2024","Thu Oct 10 20:10:28 GMT 2024","1262","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com sucesso",""
"passed","Thu Oct 10 20:10:28 GMT 2024","Thu Oct 10 20:10:30 GMT 2024","1920","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com e-mail já utilizado",""
"passed","Thu Oct 10 20:10:22 GMT 2024","Thu Oct 10 20:10:23 GMT 2024","898","Tests","Features","Login","","","Login com e-mail e senha inválidos",""
"passed","Thu Oct 10 20:10:18 GMT 2024","Thu Oct 10 20:10:20 GMT 2024","2224","Tests","Features","Conta.Cadastro Conta","","","Adicionar uma conta de mesmo nome",""
"passed","Thu Oct 10 20:10:21 GMT 2024","Thu Oct 10 20:10:22 GMT 2024","1055","Tests","Features","Login","","","Login com senha inválida",""
"passed","Thu Oct 10 20:10:16 GMT 2024","Thu Oct 10 20:10:18 GMT 2024","2218","Tests","Features","Conta.Cadastro Conta","","","Cadastro de conta com sucesso",""
"passed","Thu Oct 10 20:10:23 GMT 2024","Thu Oct 10 20:10:24 GMT 2024","835","Tests","Features","Login","","","Login com e-mail vazio",""
"passed","Thu Oct 10 20:10:26 GMT 2024","Thu Oct 10 20:10:27 GMT 2024","1069","Tests","Features","Login","","","Login com sucesso",""
"passed","Thu Oct 10 20:10:24 GMT 2024","Thu Oct 10 20:10:25 GMT 2024","842","Tests","Features","Login","","","Login com senha vazia",""
"passed","Thu Oct 10 20:10:25 GMT 2024","Thu Oct 10 20:10:26 GMT 2024","847","Tests","Features","Login","","","Login com e-mail e senha vazios",""
